run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp
30-03-2026-host-cold-0000,CRIU,cold,no,667,25338,930,445,2042,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:51:49.375169
30-03-2026-host-cold-0001,CRIU,cold,no,692,25169,975,362,2029,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:52:14.847368
30-03-2026-host-cold-0002,CRIU,cold,no,678,25157,886,340,1904,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:52:40.297461
30-03-2026-host-cold-0003,CRIU,cold,no,726,25139,973,625,2324,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:53:05.637374
30-03-2026-host-cold-0004,CRIU,cold,no,720,25070,995,615,2330,0.2,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:53:31.521330
30-03-2026-host-cold-0005,CRIU,cold,no,660,25202,974,342,1976,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:53:57.097619
30-03-2026-host-cold-0006,CRIU,cold,no,724,25074,974,355,2053,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:54:22.484836
30-03-2026-host-cold-0007,CRIU,cold,no,669,25376,978,340,1987,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:54:48.277397
30-03-2026-host-cold-0008,CRIU,cold,no,862,25609,928,325,2115,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:55:13.584401
30-03-2026-host-cold-0009,CRIU,cold,no,647,25047,941,328,1916,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:55:39.099505
30-03-2026-host-cold-0010,CRIU,cold,no,648,24957,1002,354,2004,0.2,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:56:03.979953
30-03-2026-host-cold-0011,CRIU,cold,no,656,25018,954,378,1988,0.21,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:56:28.710616
30-03-2026-host-cold-0012,CRIU,cold,no,701,25141,1091,584,2376,0.18,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T23:56:54.864272
