run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp
13-04-2026-host-cold-0000,CRIU,cold,no,598,25290,5883,299,6780,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:23:21.219457
13-04-2026-host-cold-0001,CRIU,cold,no,702,25223,5730,306,6738,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:23:49.504147
13-04-2026-host-cold-0002,CRIU,cold,no,598,25351,5919,304,6821,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:24:18.425212
13-04-2026-host-cold-0003,CRIU,cold,no,624,25425,5708,317,6649,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:24:47.062106
13-04-2026-host-cold-0004,CRIU,cold,no,610,25212,5564,307,6481,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:25:15.624090
13-04-2026-host-cold-0005,CRIU,cold,no,634,25190,5967,311,6912,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:25:43.920384
13-04-2026-host-cold-0006,CRIU,cold,no,619,25246,5897,314,6830,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:26:12.590933
13-04-2026-host-cold-0007,CRIU,cold,no,670,25488,6046,303,7019,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:26:41.309751
13-04-2026-host-cold-0008,CRIU,cold,no,601,25263,5713,311,6625,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:27:10.038331
13-04-2026-host-cold-0009,CRIU,cold,no,619,25432,5700,329,6648,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:27:38.361863
13-04-2026-host-cold-0010,CRIU,cold,no,634,25480,5928,318,6880,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:28:07.455009
13-04-2026-host-cold-0011,CRIU,cold,no,618,25349,5664,307,6589,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:28:35.663909
13-04-2026-host-cold-0012,CRIU,cold,no,613,25266,6602,311,7526,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:29:04.747509
13-04-2026-host-cold-0013,CRIU,cold,no,625,25453,5636,312,6573,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:29:33.170928
13-04-2026-host-cold-0014,CRIU,cold,no,617,25517,5727,306,6650,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:30:01.454043
13-04-2026-host-cold-0015,CRIU,cold,no,622,25307,5988,318,6928,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:30:30.584915
13-04-2026-host-cold-0016,CRIU,cold,no,621,25218,5638,310,6569,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:30:58.703290
13-04-2026-host-cold-0017,CRIU,cold,no,620,25402,5942,302,6864,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:31:27.771607
13-04-2026-host-cold-0018,CRIU,cold,no,615,25199,5669,303,6587,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:31:55.982414
13-04-2026-host-cold-0019,CRIU,cold,no,623,25424,5934,320,6877,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:32:24.695754
13-04-2026-host-cold-0020,CRIU,cold,no,613,25150,5984,308,6905,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:32:53.598178
13-04-2026-host-cold-0021,CRIU,cold,no,613,25564,5948,329,6890,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:33:22.586710
13-04-2026-host-cold-0022,CRIU,cold,no,611,25197,6192,306,7109,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:33:51.428224
13-04-2026-host-cold-0023,CRIU,cold,no,619,25554,5737,309,6665,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:34:20.155042
13-04-2026-host-cold-0024,CRIU,cold,no,593,25374,5734,309,6636,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:34:48.415343
13-04-2026-host-cold-0025,CRIU,cold,no,613,25570,6260,299,7172,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:35:17.462917
13-04-2026-host-cold-0026,CRIU,cold,no,612,25279,5686,301,6599,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:35:45.590848
13-04-2026-host-cold-0027,CRIU,cold,no,622,25264,5972,295,6889,0.03,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:36:14.186947
13-04-2026-host-cold-0028,CRIU,cold,no,614,25446,5767,309,6690,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:36:43.086595
13-04-2026-host-cold-0029,CRIU,cold,no,616,25263,5698,303,6617,0.04,x86_64,x86_64,True,True,transfer_mode=host;relay_node=edge-host-1,2026-04-13T01:37:11.545370
13-04-2026-direct-cold-0000,CRIU,cold,no,596,25163,2771,310,3677,0.07,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-13T01:37:39.004956
13-04-2026-direct-cold-0001,CRIU,cold,no,618,25334,2521,317,3456,0.08,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-13T01:38:05.624112
13-04-2026-direct-cold-0002,CRIU,cold,no,618,25487,2477,305,3400,0.08,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-13T01:38:32.993605
13-04-2026-direct-cold-0003,CRIU,cold,no,675,25295,2533,314,3522,0.08,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-13T01:38:59.958277
13-04-2026-direct-cold-0004,CRIU,cold,no,890,25202,2517,313,3720,0.08,x86_64,x86_64,True,True,transfer_mode=direct,2026-04-13T01:39:27.402038
