run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-host-cold-0019,WASM,cold,no,1,130.0,129445.0,2015,6828,1969,8798,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:23:24.196752,1_WiFi_6,0,1,14705,0,0
30-04-2026-host-cold-0020,WASM,cold,no,1,138.0,137940.0,2014,6931,2244,9176,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:23:45.178052,1_WiFi_6,0,1,15337,0,0
30-04-2026-host-cold-0021,WASM,cold,no,1,125.0,124822.0,2016,6993,2074,9068,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:24:05.583620,1_WiFi_6,0,1,14948,0,0
30-04-2026-direct-cold-0012,WASM,cold,no,1,123.0,122959.0,2020,3261,1971,5233,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:24:22.338972,1_WiFi_6,0,1,11041,0,0
30-04-2026-direct-cold-0013,WASM,cold,no,1,154.0,153257.0,2021,2998,2029,5028,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:24:39.248510,1_WiFi_6,0,1,11242,0,0
30-04-2026-direct-cold-0014,WASM,cold,no,1,214.0,213686.0,2019,3067,1957,5025,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:24:56.594405,1_WiFi_6,0,1,10983,0,0
30-04-2026-direct-cold-0015,WASM,cold,no,1,134.0,133524.0,2020,3116,1942,5059,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:25:13.231922,1_WiFi_6,0,1,10904,0,0
30-04-2026-direct-cold-0016,WASM,cold,no,1,169.0,168602.0,2020,3035,2060,5096,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:25:29.578740,1_WiFi_6,0,1,10889,0,0
30-04-2026-direct-cold-0017,WASM,cold,no,1,128.0,127744.0,2018,2928,2267,5196,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:25:46.790111,1_WiFi_6,0,1,11548,0,0
30-04-2026-direct-cold-0018,WASM,cold,no,1,127.0,126534.0,2019,3094,1937,5032,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:26:03.139766,1_WiFi_6,0,1,10817,0,0
