metric,value_column,metric_description,profile_label,benchmark,method_label,attempted_runs,successful_runs,fastest_value_ms,fastest_transfer_mode,fastest_run_id,fastest_checkpoint_ms,fastest_transfer_ms,fastest_restore_ms,fastest_predump_ms,slowest_value_ms,slowest_transfer_mode,slowest_run_id,slowest_checkpoint_ms,slowest_transfer_ms,slowest_restore_ms,slowest_predump_ms
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,Counter (CRIU),Cold,80,80,23992.0,direct,12-05-2026-direct-cold-0040,613.0,10021.0,300.0,0.0,39999.0,host,12-05-2026-host-cold-0066,692.0,32633.0,376.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,Counter (CRIU),Pre-copy,80,79,84625.0,direct,12-05-2026-direct-precopy-0034,536.0,9694.0,310.0,60538.0,169383.0,host,12-05-2026-host-precopy-0062,963.0,28148.0,292.0,133535.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Best,Counter (CRIU),Post-copy,80,80,34804.0,direct,12-05-2026-direct-postcopy-0051,1185.0,11581.0,1104.0,0.0,52244.0,host,12-05-2026-host-postcopy-0069,1066.0,30275.0,1085.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,Counter (CRIU),Cold,80,80,42220.0,direct,15-05-2026-direct-cold-0010,539.0,21922.0,289.0,0.0,91826.0,host,15-05-2026-host-cold-0014,584.0,84478.0,299.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,Counter (CRIU),Pre-copy,80,78,156279.0,direct,15-05-2026-direct-precopy-0034,574.0,22402.0,312.0,113796.0,391500.0,host,15-05-2026-host-precopy-0019,899.0,50349.0,288.0,333938.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Avg,Counter (CRIU),Post-copy,80,80,60237.0,direct,15-05-2026-direct-postcopy-0001,1027.0,21632.0,1916.0,0.0,112758.0,host,15-05-2026-host-postcopy-0012,1072.0,81030.0,1932.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,Counter (CRIU),Cold,59,59,162626.0,direct,22-05-2026-direct-cold-0020,628.0,154216.0,304.0,0.0,1210458.0,host,22-05-2026-host-cold-0025,644.0,1203139.0,317.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,Counter (CRIU),Pre-copy,60,59,704734.0,direct,22-05-2026-direct-precopy-0001,906.0,177220.0,316.0,518937.0,2778233.0,host,22-05-2026-host-precopy-0006,912.0,1096566.0,317.0,1674253.0
migration_time,migration_time_ms,setup-excluded migration time,TEE Worst,Counter (CRIU),Post-copy,60,60,185144.0,direct,22-05-2026-direct-postcopy-0005,1016.0,141376.0,13370.0,0.0,981125.0,host,22-05-2026-host-postcopy-0010,970.0,925796.0,25829.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,TCP Client (CRIU),Cold,80,80,15522.0,host,06-05-2026-host-cold-0005,352.0,2641.0,322.0,0.0,17877.0,direct,06-05-2026-direct-cold-0024,383.0,1614.0,306.0,0.0
