metric,benchmark,profile,method,fastest,slowest,successes
downtime_ms,TCP Client (CRIU),5G,Cold,"\shortstack[l]{direct / 2\,323\\C/T/R: 333/1\,678/312}","\shortstack[l]{host / 4\,555\\C/T/R: 386/3\,869/300}",80/80
downtime_ms,TCP Client (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 2\,211\\C/T/R: 296/1\,587/328\\P: 17\,545}","\shortstack[l]{host / 4\,336\\C/T/R: 711/3\,309/316\\P: 29\,887}",79/80
downtime_ms,TCP Client (CRIU),5G,Post-copy,"\shortstack[l]{direct / 2\,755\\C/T/R: 755/1\,624/376}","\shortstack[l]{host / 4\,943\\C/T/R: 768/3\,774/401}",80/80
downtime_ms,TCP Client (CRIU),LTE,Cold,"\shortstack[l]{direct / 3\,523\\C/T/R: 316/2\,891/316}","\shortstack[l]{host / 6\,880\\C/T/R: 360/6\,214/306}",80/80
downtime_ms,TCP Client (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 3\,543\\C/T/R: 296/2\,944/303\\P: 22\,715}","\shortstack[l]{host / 7\,057\\C/T/R: 699/6\,017/341\\P: 40\,917}",80/80
downtime_ms,TCP Client (CRIU),LTE,Post-copy,"\shortstack[l]{direct / 4\,141\\C/T/R: 771/2\,874/496}","\shortstack[l]{host / 7\,490\\C/T/R: 701/6\,294/495}",80/80
downtime_ms,TCP Client (CRIU),Starlink,Cold,"\shortstack[l]{direct / 3\,763\\C/T/R: 358/3\,098/307}","\shortstack[l]{host / 8\,430\\C/T/R: 346/7\,747/337}",80/80
downtime_ms,TCP Client (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 3\,632\\C/T/R: 280/3\,048/304\\P: 24\,348}","\shortstack[l]{host / 7\,865\\C/T/R: 632/6\,891/342\\P: 42\,683}",76/80
downtime_ms,TCP Client (CRIU),Starlink,Post-copy,"\shortstack[l]{direct / 4\,290\\C/T/R: 700/3\,060/530}","\shortstack[l]{host / 8\,559\\C/T/R: 752/7\,290/517}",80/80
downtime_ms,TCP Client (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 10\,983\\C/T/R: 322/10\,353/308}","\shortstack[l]{host / 29\,198\\C/T/R: 349/28\,543/306}",48/80
downtime_ms,TCP Client (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 10\,194\\C/T/R: 305/9\,572/317\\P: 59\,020}","\shortstack[l]{host / 29\,801\\C/T/R: 299/29\,138/364\\P: 122\,238}",73/79
downtime_ms,TCP Client (CRIU),TEE Best,Post-copy,"\shortstack[l]{direct / 11\,560\\C/T/R: 752/9\,662/1\,146}","\shortstack[l]{host / 36\,561\\C/T/R: 733/34\,695/1\,133}",66/80
downtime_ms,TCP Client (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 20\,322\\C/T/R: 330/19\,643/349}","\shortstack[l]{host / 80\,216\\C/T/R: 432/79\,371/413}",74/80
downtime_ms,TCP Client (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 21\,288\\C/T/R: 329/20\,633/326\\P: 160\,342}","\shortstack[l]{host / 89\,500\\C/T/R: 643/88\,541/316\\P: 274\,041}",58/80
downtime_ms,TCP Client (CRIU),TEE Avg,Post-copy,"\shortstack[l]{direct / 20\,856\\C/T/R: 715/18\,176/1\,965}","\shortstack[l]{host / 105\,370\\C/T/R: 730/101\,051/3\,589}",68/80
downtime_ms,TCP Client (CRIU),TEE Worst,Cold,"\shortstack[l]{direct / 166\,984\\C/T/R: 340/166\,317/327}","\shortstack[l]{host / 1\,031\,267\\C/T/R: 348/1\,030\,581/338}",52/60
downtime_ms,TCP Client (CRIU),TEE Worst,Pre-copy,"\shortstack[l]{direct / 173\,937\\C/T/R: 625/172\,982/330\\P: 775\,429}","\shortstack[l]{host / 969\,373\\C/T/R: 664/968\,397/312\\P: 1\,203\,034}",34/60
downtime_ms,TCP Client (CRIU),TEE Worst,Post-copy,"\shortstack[l]{direct / 176\,398\\C/T/R: 782/163\,250/12\,366}","\shortstack[l]{host / 790\,281\\C/T/R: 745/763\,638/25\,898}",24/60
downtime_ms,Game of Life (CRIU),WiFi 6,Cold,"\shortstack[l]{direct / 3\,689\\C/T/R: 340/3\,005/344}","\shortstack[l]{host / 5\,850\\C/T/R: 437/5\,074/339}",80/80
downtime_ms,Game of Life (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 3\,239\\C/T/R: 320/2\,595/324\\P: 20\,468}","\shortstack[l]{host / 4\,882\\C/T/R: 551/4\,003/328\\P: 31\,787}",80/80
downtime_ms,Game of Life (CRIU),WiFi 6,Post-copy,"\shortstack[l]{direct / 2\,784\\C/T/R: 999/1\,444/341}","\shortstack[l]{host / 6\,339\\C/T/R: 999/5\,021/319}",80/80
downtime_ms,Game of Life (CRIU),5G,Cold,"\shortstack[l]{direct / 4\,265\\C/T/R: 358/3\,575/332}","\shortstack[l]{host / 7\,512\\C/T/R: 353/6\,837/322}",80/80
downtime_ms,Game of Life (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 3\,565\\C/T/R: 315/2\,925/325\\P: 21\,947}","\shortstack[l]{host / 6\,843\\C/T/R: 397/6\,113/333\\P: 34\,609}",79/80
downtime_ms,Game of Life (CRIU),5G,Post-copy,"\shortstack[l]{direct / 3\,039\\C/T/R: 934/1\,725/380}","\shortstack[l]{host / 5\,075\\C/T/R: 1\,077/3\,642/356}",80/80
downtime_ms,Game of Life (CRIU),LTE,Cold,"\shortstack[l]{direct / 7\,568\\C/T/R: 346/6\,906/316}","\shortstack[l]{host / 34\,275\\C/T/R: 358/33\,574/343}",80/80
downtime_ms,Game of Life (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 5\,776\\C/T/R: 320/5\,110/346\\P: 43\,897}","\shortstack[l]{host / 17\,720\\C/T/R: 302/17\,102/316\\P: 55\,313}",79/80
downtime_ms,Game of Life (CRIU),LTE,Post-copy,--,--,0/80
downtime_ms,Game of Life (CRIU),Starlink,Cold,"\shortstack[l]{direct / 7\,370\\C/T/R: 336/6\,667/367}","\shortstack[l]{host / 122\,322\\C/T/R: 368/121\,623/331}",80/80
downtime_ms,Game of Life (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 5\,590\\C/T/R: 340/4\,924/326\\P: 113\,840}","\shortstack[l]{host / 46\,116\\C/T/R: 657/45\,138/321\\P: 160\,119}",79/80
downtime_ms,Game of Life (CRIU),Starlink,Post-copy,--,--,0/80
downtime_ms,Game of Life (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 368\,100\\C/T/R: 341/367\,433/326}","\shortstack[l]{host / 1\,075\,766\\C/T/R: 389/1\,075\,034/343}",79/80
downtime_ms,Game of Life (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 63\,399\\C/T/R: 661/62\,390/348\\P: 760\,232}","\shortstack[l]{host / 243\,462\\C/T/R: 640/242\,498/324\\P: 1\,280\,339}",80/80
downtime_ms,Game of Life (CRIU),TEE Best,Post-copy,"\shortstack[l]{host / 1\,000\,300\\C/T/R: 980/998\,935/385}","\shortstack[l]{host / 1\,000\,300\\C/T/R: 980/998\,935/385}",1/80
downtime_ms,Game of Life (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 1\,060\,617\\C/T/R: 340/1\,059\,938/339}","\shortstack[l]{host / 2\,638\,855\\C/T/R: 306/2\,638\,197/352}",79/80
downtime_ms,Game of Life (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 166\,449\\C/T/R: 711/165\,426/312\\P: 1\,776\,580}","\shortstack[l]{host / 490\,114\\C/T/R: 677/489\,088/349\\P: 3\,483\,861}",79/80
downtime_ms,Game of Life (CRIU),TEE Avg,Post-copy,--,--,0/80
downtime_ms,Game of Life (CRIU),TEE Worst,Cold,--,--,--
downtime_ms,Game of Life (CRIU),TEE Worst,Pre-copy,--,--,--
downtime_ms,Game of Life (CRIU),TEE Worst,Post-copy,--,--,--
downtime_ms,WebAssembly,WiFi 6,Wasm,"\shortstack[l]{direct / 3\,304\\C/T/R: 0/1\,395/1\,909}","\shortstack[l]{host / 5\,097\\C/T/R: 0/3\,093/2\,004}",80/80
downtime_ms,WebAssembly,5G,Wasm,"\shortstack[l]{direct / 3\,522\\C/T/R: 0/1\,545/1\,977}","\shortstack[l]{host / 5\,475\\C/T/R: 0/3\,473/2\,002}",80/80
downtime_ms,WebAssembly,LTE,Wasm,"\shortstack[l]{direct / 4\,669\\C/T/R: 0/2\,769/1\,900}","\shortstack[l]{host / 8\,087\\C/T/R: 0/6\,197/1\,890}",80/80
downtime_ms,WebAssembly,Starlink,Wasm,"\shortstack[l]{direct / 4\,897\\C/T/R: 0/3\,013/1\,884}","\shortstack[l]{host / 9\,331\\C/T/R: 0/7\,387/1\,944}",80/80
downtime_ms,WebAssembly,TEE Best,Wasm,"\shortstack[l]{direct / 11\,115\\C/T/R: 0/9\,213/1\,902}","\shortstack[l]{host / 32\,158\\C/T/R: 0/30\,239/1\,919}",80/80
downtime_ms,WebAssembly,TEE Avg,Wasm,"\shortstack[l]{direct / 20\,011\\C/T/R: 0/18\,088/1\,923}","\shortstack[l]{host / 69\,835\\C/T/R: 0/67\,785/2\,050}",79/80
downtime_ms,WebAssembly,TEE Worst,Wasm,"\shortstack[l]{direct / 152\,287\\C/T/R: 0/149\,920/2\,367}","\shortstack[l]{host / 936\,904\\C/T/R: 0/934\,620/2\,284}",60/60
migration_time_ms,Counter (CRIU),WiFi 6,Cold,"\shortstack[l]{host / 9\,793\\C/T/R/O: 605/2\,618/311/6\,259}","\shortstack[l]{direct / 11\,384\\C/T/R/O: 631/2\,089/298/8\,366}",80/80
migration_time_ms,Counter (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 26\,223\\C/T/R/O: 611/1\,536/327/23\,749\\P: 15\,799}","\shortstack[l]{host / 38\,349\\C/T/R/O: 878/2\,797/303/34\,371\\P: 28\,073}",79/80
migration_time_ms,Counter (CRIU),WiFi 6,Post-copy,"\shortstack[l]{host / 13\,330\\C/T/R/O: 1\,005/2\,737/340/9\,248}","\shortstack[l]{direct / 15\,321\\C/T/R/O: 1\,068/1\,736/320/12\,197}",80/80
