metric,benchmark,profile,method,fastest,slowest,successes
migration_time_ms,Game of Life (CRIU),Starlink,Cold,"\shortstack[l]{direct / 18\,178\\C/T/R/O: 336/6\,667/367/10\,808}","\shortstack[l]{host / 130\,359\\C/T/R/O: 368/121\,623/331/8\,037}",80/80
migration_time_ms,Game of Life (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 90\,889\\C/T/R/O: 312/14\,785/343/75\,449\\P: 64\,583}","\shortstack[l]{host / 246\,334\\C/T/R/O: 631/39\,479/336/205\,888\\P: 197\,784}",79/80
migration_time_ms,Game of Life (CRIU),Starlink,Post-copy,--,--,0/80
migration_time_ms,Game of Life (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 382\,605\\C/T/R/O: 341/367\,433/326/14\,505}","\shortstack[l]{host / 1\,083\,743\\C/T/R/O: 389/1\,075\,034/343/7\,977}",79/80
migration_time_ms,Game of Life (CRIU),TEE Best,Pre-copy,"\shortstack[l]{direct / 779\,295\\C/T/R/O: 683/95\,804/317/682\,491\\P: 666\,452}","\shortstack[l]{host / 1\,757\,133\\C/T/R/O: 640/199\,096/336/1\,557\,061\\P: 1\,548\,919}",80/80
migration_time_ms,Game of Life (CRIU),TEE Best,Post-copy,"\shortstack[l]{host / 1\,017\,859\\C/T/R/O: 980/998\,935/385/17\,559}","\shortstack[l]{host / 1\,017\,859\\C/T/R/O: 980/998\,935/385/17\,559}",1/80
migration_time_ms,Game of Life (CRIU),TEE Avg,Cold,"\shortstack[l]{direct / 1\,080\,025\\C/T/R/O: 350/1\,060\,032/394/19\,249}","\shortstack[l]{host / 2\,646\,836\\C/T/R/O: 306/2\,638\,197/352/7\,981}",79/80
migration_time_ms,Game of Life (CRIU),TEE Avg,Pre-copy,"\shortstack[l]{direct / 1\,876\,225\\C/T/R/O: 642/223\,247/346/1\,651\,990\\P: 1\,623\,340}","\shortstack[l]{host / 3\,989\,146\\C/T/R/O: 699/445\,133/357/3\,542\,957\\P: 3\,534\,917}",79/80
migration_time_ms,Game of Life (CRIU),TEE Avg,Post-copy,--,--,0/80
migration_time_ms,Game of Life (CRIU),TEE Worst,Cold,--,--,--
migration_time_ms,Game of Life (CRIU),TEE Worst,Pre-copy,--,--,--
migration_time_ms,Game of Life (CRIU),TEE Worst,Post-copy,--,--,--
migration_time_ms,WebAssembly,WiFi 6,Wasm,"\shortstack[l]{direct / 8\,620\\C/T/R/O: 0/1\,346/1\,986/5\,288}","\shortstack[l]{host / 11\,050\\C/T/R/O: 0/2\,759/2\,129/6\,162}",80/80
migration_time_ms,WebAssembly,5G,Wasm,"\shortstack[l]{direct / 8\,704\\C/T/R/O: 0/1\,600/1\,927/5\,177}","\shortstack[l]{host / 11\,257\\C/T/R/O: 0/3\,117/1\,994/6\,146}",80/80
migration_time_ms,WebAssembly,LTE,Wasm,"\shortstack[l]{direct / 9\,993\\C/T/R/O: 0/2\,772/1\,962/5\,259}","\shortstack[l]{host / 13\,764\\C/T/R/O: 0/5\,479/2\,308/5\,977}",80/80
migration_time_ms,WebAssembly,Starlink,Wasm,"\shortstack[l]{direct / 10\,068\\C/T/R/O: 0/3\,013/1\,884/5\,171}","\shortstack[l]{host / 14\,682\\C/T/R/O: 0/7\,100/1\,895/5\,687}",80/80
migration_time_ms,WebAssembly,TEE Best,Wasm,"\shortstack[l]{direct / 16\,679\\C/T/R/O: 0/9\,213/1\,902/5\,564}","\shortstack[l]{host / 37\,415\\C/T/R/O: 0/30\,239/1\,919/5\,257}",80/80
migration_time_ms,WebAssembly,TEE Avg,Wasm,"\shortstack[l]{direct / 25\,589\\C/T/R/O: 0/18\,088/1\,923/5\,578}","\shortstack[l]{host / 75\,347\\C/T/R/O: 0/67\,785/2\,050/5\,512}",79/80
migration_time_ms,WebAssembly,TEE Worst,Wasm,"\shortstack[l]{direct / 157\,915\\C/T/R/O: 0/149\,920/2\,367/5\,628}","\shortstack[l]{host / 942\,508\\C/T/R/O: 0/934\,620/2\,284/5\,604}",60/60
