run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp
repeat-suite-20260330-212107-cold-host-001,CRIU,cold,no,608,25061,862,340,1810,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:21:29.565012
repeat-suite-20260330-212107-cold-host-002,CRIU,cold,no,650,25061,877,336,1863,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:21:51.738840
repeat-suite-20260330-212107-cold-host-003,CRIU,cold,no,640,25299,881,309,1830,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:22:14.640436
repeat-suite-20260330-212107-cold-host-004,CRIU,cold,no,596,25329,869,332,1797,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:22:36.792370
repeat-suite-20260330-212107-cold-host-005,CRIU,cold,no,628,25313,881,311,1820,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:22:58.892599
repeat-suite-20260330-212107-cold-host-006,CRIU,cold,no,635,25248,1170,321,2126,0.17,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:23:21.674542
repeat-suite-20260330-212107-cold-host-007,CRIU,cold,no,640,25082,899,308,1847,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:23:43.874027
repeat-suite-20260330-212107-cold-host-008,CRIU,cold,no,607,25239,875,330,1812,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:24:06.216437
repeat-suite-20260330-212107-cold-host-009,CRIU,cold,no,678,25358,867,318,1863,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:24:29.106322
repeat-suite-20260330-212107-cold-host-010,CRIU,cold,no,643,25108,885,320,1848,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:24:51.230760
repeat-suite-20260330-212107-cold-host-011,CRIU,cold,no,668,25131,867,324,1859,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:25:13.388739
repeat-suite-20260330-212107-cold-host-012,CRIU,cold,no,613,25357,877,336,1826,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:25:36.020105
repeat-suite-20260330-212107-cold-host-013,CRIU,cold,no,622,25414,868,320,1810,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:25:58.218145
repeat-suite-20260330-212107-cold-host-014,CRIU,cold,no,609,25310,852,316,1777,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:26:20.849615
repeat-suite-20260330-212107-cold-host-015,CRIU,cold,no,670,25022,930,304,1904,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:26:43.073784
repeat-suite-20260330-212107-cold-host-016,CRIU,cold,no,637,25042,891,334,1862,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:27:05.284962
repeat-suite-20260330-212107-cold-host-017,CRIU,cold,no,607,25134,1162,324,2093,0.17,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:27:27.836562
repeat-suite-20260330-212107-cold-host-018,CRIU,cold,no,662,25219,892,327,1881,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:27:50.026751
repeat-suite-20260330-212107-cold-host-019,CRIU,cold,no,608,25241,845,309,1762,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:28:12.211571
repeat-suite-20260330-212107-cold-host-020,CRIU,cold,no,612,25119,1106,330,2048,0.18,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:28:35.182455
repeat-suite-20260330-212107-cold-host-021,CRIU,cold,no,638,25029,876,323,1837,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:28:57.437669
repeat-suite-20260330-212107-cold-host-022,CRIU,cold,no,607,25110,852,325,1784,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:29:19.416793
repeat-suite-20260330-212107-cold-host-023,CRIU,cold,no,758,25085,861,320,1939,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:29:42.344868
repeat-suite-20260330-212107-cold-host-024,CRIU,cold,no,624,25303,866,335,1825,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:30:04.593172
repeat-suite-20260330-212107-cold-host-025,CRIU,cold,no,650,25207,878,316,1844,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:30:27.465449
repeat-suite-20260330-212107-cold-host-026,CRIU,cold,no,602,25034,873,336,1811,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:30:49.459143
repeat-suite-20260330-212107-cold-host-027,CRIU,cold,no,662,25287,875,335,1872,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:31:11.715220
repeat-suite-20260330-212107-cold-host-028,CRIU,cold,no,624,25293,1163,335,2122,0.17,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:31:34.603029
repeat-suite-20260330-212107-cold-host-029,CRIU,cold,no,622,25151,870,322,1814,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:31:56.757995
repeat-suite-20260330-212107-cold-host-030,CRIU,cold,no,622,25101,855,325,1802,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:32:18.845507
repeat-suite-20260330-212107-cold-host-031,CRIU,cold,no,648,25270,925,323,1896,0.22,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:32:41.792580
repeat-suite-20260330-212107-cold-host-032,CRIU,cold,no,615,25234,873,326,1814,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:33:03.949808
repeat-suite-20260330-212107-cold-host-033,CRIU,cold,no,593,25127,883,321,1797,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:33:25.974655
repeat-suite-20260330-212107-cold-host-034,CRIU,cold,no,603,25010,842,314,1759,0.24,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:33:48.484031
repeat-suite-20260330-212107-cold-host-035,CRIU,cold,no,625,25102,880,316,1821,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:34:10.620085
repeat-suite-20260330-212107-cold-host-036,CRIU,cold,no,608,25058,888,328,1824,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:34:33.470416
repeat-suite-20260330-212107-cold-host-037,CRIU,cold,no,598,25268,894,312,1804,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:34:55.595876
repeat-suite-20260330-212107-cold-host-038,CRIU,cold,no,638,25054,859,345,1842,0.23,x86_64,x86_64,True,True,transfer_mode=host,2026-03-30T21:35:17.646911
