run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
28-04-2026-host-cold-0055,WASM,cold,no,1,134.0,133804.0,2019,5603,2044,7648,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:29:20.909405,,0,1,14011,0,0
28-04-2026-host-cold-0056,WASM,cold,no,1,133.0,132730.0,2016,5816,1988,7805,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:29:40.892146,,0,1,13662,0,0
28-04-2026-host-cold-0057,WASM,cold,no,1,128.0,127928.0,2017,5528,1999,7528,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:30:00.709126,,0,1,13385,0,0
28-04-2026-host-cold-0058,WASM,cold,no,1,286.0,285668.0,2017,5558,2006,7565,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:30:21.085106,,0,1,13955,0,0
28-04-2026-host-cold-0059,WASM,cold,no,1,129.0,128077.0,2014,5782,2002,7785,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:30:41.183614,,0,1,13804,0,0
28-04-2026-host-cold-0060,WASM,cold,no,1,130.0,129911.0,2017,5645,2108,7754,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:31:01.043186,,0,1,13610,0,0
28-04-2026-host-cold-0061,WASM,cold,no,1,125.0,124618.0,2016,5472,1962,7435,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:31:21.203246,,0,1,13837,0,0
28-04-2026-host-cold-0062,WASM,cold,no,1,276.0,275821.0,2016,6052,1962,8015,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:31:41.334703,,0,1,13898,0,0
28-04-2026-host-cold-0063,WASM,cold,no,1,135.0,134127.0,2017,5550,1981,7532,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:32:00.990110,,0,1,13304,0,0
28-04-2026-host-cold-0064,WASM,cold,no,1,141.0,140920.0,2011,5626,1972,7599,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:32:20.938049,,0,1,13660,0,0
28-04-2026-host-cold-0065,WASM,cold,no,1,161.0,160591.0,2017,5813,2000,7814,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:32:41.404519,,0,1,13643,0,0
28-04-2026-host-cold-0066,WASM,cold,no,1,130.0,129195.0,2016,5495,2006,7502,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:33:00.975284,,0,1,13301,0,0
28-04-2026-host-cold-0067,WASM,cold,no,1,129.0,128293.0,2018,5503,2004,7508,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:33:20.672625,,0,1,13384,0,0
28-04-2026-host-cold-0068,WASM,cold,no,1,129.0,128082.0,2016,5909,2003,7913,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:33:41.400764,,0,1,13809,0,0
28-04-2026-host-cold-0069,WASM,cold,no,1,126.0,125957.0,2018,5551,2013,7565,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:34:01.115951,,0,1,13402,0,0
28-04-2026-host-cold-0070,WASM,cold,no,1,128.0,127811.0,2015,5534,2002,7537,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:34:20.804495,,0,1,13352,0,0
28-04-2026-host-cold-0071,WASM,cold,no,1,133.0,132571.0,2018,5799,1977,7777,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:34:41.259538,,0,1,13584,0,0
28-04-2026-host-cold-0072,WASM,cold,no,1,150.0,149824.0,2017,5694,1960,7655,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:35:01.334106,,0,1,13694,0,0
28-04-2026-host-cold-0073,WASM,cold,no,1,125.0,124743.0,2016,5535,2081,7617,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:35:21.058774,,0,1,13414,0,0
28-04-2026-host-cold-0074,WASM,cold,no,1,205.0,204655.0,2018,5904,1994,7899,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-28T15:35:41.750351,,0,1,13817,0,0
28-04-2026-direct-cold-0020,WASM,cold,no,1,128.0,127388.0,2020,2445,2225,4671,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:35:58.722495,,0,1,10539,0,0
28-04-2026-direct-cold-0021,WASM,cold,no,1,126.0,125294.0,2017,2468,1985,4454,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:36:15.620027,,0,1,10380,0,0
28-04-2026-direct-cold-0022,WASM,cold,no,1,143.0,142849.0,2019,2721,1981,4703,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:36:32.690017,,0,1,10759,0,0
28-04-2026-direct-cold-0023,WASM,cold,no,1,157.0,156246.0,2018,2451,1986,4438,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:36:49.485001,,0,1,10496,0,0
28-04-2026-direct-cold-0024,WASM,cold,no,1,133.0,132759.0,2019,2684,2005,4690,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:37:06.478883,,0,1,10538,0,0
28-04-2026-direct-cold-0025,WASM,cold,no,1,157.0,156426.0,2017,2470,1944,4415,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:37:23.079364,,0,1,10356,0,0
28-04-2026-direct-cold-0026,WASM,cold,no,1,164.0,163471.0,2017,2448,1953,4402,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:37:40.369733,,0,1,10397,0,0
28-04-2026-direct-cold-0027,WASM,cold,no,1,136.0,135554.0,2018,2501,2023,4525,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:37:57.213206,,0,1,10369,0,0
28-04-2026-direct-cold-0028,WASM,cold,no,1,132.0,131716.0,2019,2487,1989,4477,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:38:14.248863,,0,1,10363,0,0
28-04-2026-direct-cold-0029,WASM,cold,no,1,131.0,130624.0,2020,2475,2279,4755,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:38:31.648719,,0,1,10892,0,0
